Comandante Ferraz, https://en.wikipedia.org/wiki/Comandante_Ferraz_Antarctic_Station, , 0, 0, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), Brazil,https://en.wikipedia.org/wiki/Brazil, 0, https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png, 22, 15, https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/720px-Flag_of_Brazil.svg.png, 720, 504, -62.085379, -58.391513 
Concordia, https://en.wikipedia.org/wiki/Concordia_Station, , 0, 0, Dome C, https://en.wikipedia.org/wiki/Dome_C, Italy France,, 1, https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/800px-Flag_of_Italy.svg.png, 800, 533, -75.09978, 123.332196 
Davis, https://en.wikipedia.org/wiki/Davis_Station, , 0, 0, Princess Elizabeth Land, https://en.wikipedia.org/wiki/Princess_Elizabeth_Land, Australia,https://en.wikipedia.org/wiki/Australia, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/800px-Flag_of_Australia_%28converted%29.svg.png, 800, 400, -68.576667, 77.9675 
Dumont d'Urville, https://en.wikipedia.org/wiki/Dumont_d%27Urville_Station, , 0, 0, Adélie Land, https://en.wikipedia.org/wiki/Ad%C3%A9lie_Land, France,https://en.wikipedia.org/wiki/France, 0, https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/800px-Flag_of_France.svg.png, 800, 533, -66.662778, 140.001111 
Eco-Nelson, https://en.wikipedia.org/wiki/Eco-Nelson, , 0, 0, Nelson Island, https://en.wikipedia.org/wiki/Nelson_Island_(South_Shetland_Islands), Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/23px-Flag_of_the_Czech_Republic.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/800px-Flag_of_the_Czech_Republic.svg.png, 800, 533, -62.246214, -58.982366 
Eduardo Frei, https://en.wikipedia.org/wiki/Base_Presidente_Eduardo_Frei_Montalva, , 0, 0, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), Chile,https://en.wikipedia.org/wiki/Chile, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/800px-Flag_of_Chile.svg.png, 800, 533, -62.200233, -58.962633 
Escudero, https://en.wikipedia.org/wiki/Profesor_Julio_Escudero_Base, , 0, 0, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), Chile,https://en.wikipedia.org/wiki/Chile, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/800px-Flag_of_Chile.svg.png, 800, 533, -62.201382, -58.962358 
Esperanza, https://en.wikipedia.org/wiki/Esperanza_Base, https://upload.wikimedia.org/wikipedia/en/f/f5/Base_Esperanza.png, 164, 168, Hope Bay, https://en.wikipedia.org/wiki/Hope_Bay, Argentina,https://en.wikipedia.org/wiki/Argentina, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/800px-Flag_of_Argentina.svg.png, 800, 500, -63.398333, -56.996111 
GARS, https://en.wikipedia.org/wiki/German_Antarctic_Receiving_Station, , 0, 0, Cape Legoupil, https://en.wikipedia.org/wiki/Cape_Legoupil, Germany,https://en.wikipedia.org/wiki/Germany, 0, https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/800px-Flag_of_Germany.svg.png, 800, 480, -63.320892, -57.900953 
General Bernardo O'Higgins, https://en.wikipedia.org/wiki/Base_General_Bernardo_O%27Higgins_Riquelme, , 0, 0, Cape Legoupil, https://en.wikipedia.org/wiki/Cape_Legoupil, Chile,https://en.wikipedia.org/wiki/Chile, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/800px-Flag_of_Chile.svg.png, 800, 533, -63.320951, -57.899781 
Great Wall, https://en.wikipedia.org/wiki/Antarctic_Great_Wall_Station, , 0, 0, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), China,https://en.wikipedia.org/wiki/China, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/800px-Flag_of_the_People%27s_Republic_of_China.svg.png, 800, 533, -62.216838, -58.961855 
Jang Bogo, https://en.wikipedia.org/wiki/Jang_Bogo_Station, , 0, 0, Terra Nova Bay, https://en.wikipedia.org/wiki/Terra_Nova_Bay, South Korea,https://en.wikipedia.org/wiki/Republic_of_Korea, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/800px-Flag_of_South_Korea.svg.png, 800, 533, -74.624015, 164.228815 
Halley, https://en.wikipedia.org/wiki/Halley_Research_Station, , 0, 0, Brunt Ice Shelf, https://en.wikipedia.org/wiki/Brunt_Ice_Shelf, United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom, 0, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/800px-Flag_of_the_United_Kingdom_%281-2%29.svg.png, 800, 400, -75.612501, -26.197713 
King Sejong, https://en.wikipedia.org/wiki/King_Sejong_Station, , 0, 0, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), South Korea,https://en.wikipedia.org/wiki/Republic_of_Korea, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/800px-Flag_of_South_Korea.svg.png, 800, 533, -62.222803, -58.788256 
Maitri, https://en.wikipedia.org/wiki/Maitri_(research_station), , 0, 0, Schirmacher Oasis, https://en.wikipedia.org/wiki/Schirmacher_Oasis, India,https://en.wikipedia.org/wiki/India, 0, https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/800px-Flag_of_India.svg.png, 800, 533, -70.766667, 11.731944 
Marambio, https://en.wikipedia.org/wiki/Marambio_Base, , 0, 0, Marambio Island, https://en.wikipedia.org/wiki/Marambio_Island, Argentina,https://en.wikipedia.org/wiki/Argentina, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/800px-Flag_of_Argentina.svg.png, 800, 500, -64.241014, -56.626753 
Mawson, https://en.wikipedia.org/wiki/Mawson_Station, , 0, 0, Mac Robertson Land, https://en.wikipedia.org/wiki/Mac_Robertson_Land_(Antarctica), Australia,https://en.wikipedia.org/wiki/Australia, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/800px-Flag_of_Australia_%28converted%29.svg.png, 800, 400, -67.602746, 62.873726 
McMurdo, https://en.wikipedia.org/wiki/McMurdo_Station, , 0, 0, , , United States,https://en.wikipedia.org/wiki/United_States, 0, https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg/800px-Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg.png, 800, 421, -77.846323, 166.668235 
Mirny, https://en.wikipedia.org/wiki/Mirny_Station, , 0, 0, Davis Sea, https://en.wikipedia.org/wiki/Davis_Sea, Russia,https://en.wikipedia.org/wiki/Russian_Federation, 0, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/800px-Flag_of_Russia.svg.png, 800, 533, -66.553122, 93.009724 
Neumayer III, https://en.wikipedia.org/wiki/Neumayer-Station_III, , 0, 0, Atka Bay, https://en.wikipedia.org/wiki/Atka_Bay, Germany,https://en.wikipedia.org/wiki/Germany, 0, https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/800px-Flag_of_Germany.svg.png, 800, 480, -70.674444, -8.274167 
Novolazarevskaya, https://en.wikipedia.org/wiki/Novolazarevskaya_Station, , 0, 0, , , Russia,https://en.wikipedia.org/wiki/Russian_Federation, 0, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/800px-Flag_of_Russia.svg.png, 800, 533, -70.776944, 11.823889 
Orcadas, https://en.wikipedia.org/wiki/Orcadas_Base, , 0, 0, Laurie Island, https://en.wikipedia.org/wiki/Laurie_Island, Argentina,https://en.wikipedia.org/wiki/Argentina, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/800px-Flag_of_Argentina.svg.png, 800, 500, -60.737963, -44.737891 
Palmer, https://en.wikipedia.org/wiki/Palmer_Station, , 0, 0, Anvers Island, https://en.wikipedia.org/wiki/Anvers_Island, United States,https://en.wikipedia.org/wiki/United_States, 0, https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg/800px-Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg.png, 800, 421, -64.77423, -64.052718 
Progress, https://en.wikipedia.org/wiki/Progress_Station, , 0, 0, Prydz Bay, https://en.wikipedia.org/wiki/Prydz_Bay, Russia,https://en.wikipedia.org/wiki/Russian_Federation, 0, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/800px-Flag_of_Russia.svg.png, 800, 533, -69.380833, 76.390278 
Rothera, https://en.wikipedia.org/wiki/Rothera_Research_Station, , 0, 0, Adelaide Island, https://en.wikipedia.org/wiki/Adelaide_Island, United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom, 0, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg/800px-Flag_of_the_United_Kingdom_%281-2%29.svg.png, 800, 400, -67.568783, -68.125028 
San Martín, https://en.wikipedia.org/wiki/San_Mart%C3%ADn_Base, , 0, 0, Barry Island, https://en.wikipedia.org/wiki/Barry_Island_(Debenham_Islands), Argentina,https://en.wikipedia.org/wiki/Argentina, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/800px-Flag_of_Argentina.svg.png, 800, 500, -68.130043, -67.101311 
SANAE IV, https://en.wikipedia.org/wiki/SANAE_IV, , 0, 0, Vesleskarvet, https://en.wikipedia.org/wiki/Vesleskarvet, South Africa,https://en.wikipedia.org/wiki/South_Africa, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/23px-Flag_of_South_Africa.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/800px-Flag_of_South_Africa.svg.png, 800, 533, -71.673611, -2.828611 
Scott Base, https://en.wikipedia.org/wiki/Scott_Base, , 0, 0, , , New Zealand,https://en.wikipedia.org/wiki/New_Zealand, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/23px-Flag_of_New_Zealand.svg.png, 23, 12, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/800px-Flag_of_New_Zealand.svg.png, 800, 400, -77.849132, 166.768196 
Showa, https://en.wikipedia.org/wiki/Showa_Station_(Antarctica), , 0, 0, East Ongul Island, https://en.wikipedia.org/wiki/East_Ongul_Island, Japan,https://en.wikipedia.org/wiki/Japan, 0, https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/800px-Flag_of_Japan.svg.png, 800, 533, -69.004122, 39.581836 
Troll, https://en.wikipedia.org/wiki/Troll_(research_station), , 0, 0, , , Norway,https://en.wikipedia.org/wiki/Norway, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png, 21, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/640px-Flag_of_Norway.svg.png, 640, 465, -72.011662, 2.535138 
Vernadsky, https://en.wikipedia.org/wiki/Vernadsky_Research_Base, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Vernadsky_Research_Base_logo.svg/797px-Vernadsky_Research_Base_logo.svg.png, 797, 570, Galindez Island, https://en.wikipedia.org/wiki/Galindez_Island, Ukraine United Kingdom,, 1, https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/800px-Flag_of_Ukraine.svg.png, 800, 533, -65.245791, -64.257786 
Vostok, https://en.wikipedia.org/wiki/Vostok_Station, , 0, 0, Antarctic Ice Sheet, https://en.wikipedia.org/wiki/Antarctic_Ice_Sheet, Russia,https://en.wikipedia.org/wiki/Russian_Federation, 0, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/800px-Flag_of_Russia.svg.png, 800, 533, -78.464422, 106.837328 
Zhongshan, https://en.wikipedia.org/wiki/Zhongshan_Station_(Antarctica), , 0, 0, Larsemann Hills, https://en.wikipedia.org/wiki/Larsemann_Hills, China,https://en.wikipedia.org/wiki/China, 0, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png, 23, 15, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/800px-Flag_of_the_People%27s_Republic_of_China.svg.png, 800, 533, -69.373587, 76.371652 
