Concordia, https://en.wikipedia.org/wiki/Concordia_Station, Dome C, https://en.wikipedia.org/wiki/Dome_C, Italy France, https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png, 23, 15, National Antarctic Research Program, https://en.wikipedia.org/wiki/National_Antarctic_Research_Program, 2005, 80, 70,  13, AQ CON, +8, https://en.wikipedia.org/wiki/UTC%2B8, −51.7  
Davis, https://en.wikipedia.org/wiki/Davis_Station, Princess Elizabeth Land, https://en.wikipedia.org/wiki/Princess_Elizabeth_Land, Australia, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png, 23, 12, Australian Antarctic Division, https://en.wikipedia.org/wiki/Australian_Antarctic_Division, 1957, 91, 91,  17, AQ DAV, +7, https://en.wikipedia.org/wiki/UTC%2B7, −7.3  
Dumont d'Urville, https://en.wikipedia.org/wiki/Dumont_d%27Urville_Station, Adélie Land, https://en.wikipedia.org/wiki/Ad%C3%A9lie_Land, France, https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png, 23, 15, IPEV, https://en.wikipedia.org/wiki/IPEV, 1956, 90, 90,  24, AQ DDU, +10, https://en.wikipedia.org/wiki/UTC%2B10, −11.1  
Eco-Nelson, https://en.wikipedia.org/wiki/Eco-Nelson, Nelson Island, https://en.wikipedia.org/wiki/Nelson_Island_(South_Shetland_Islands), Czech Republic, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/23px-Flag_of_the_Czech_Republic.svg.png, 23, 15, , , 1988, 8, 5,  5, AQ, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −2.3  
Eduardo Frei, https://en.wikipedia.org/wiki/Base_Presidente_Eduardo_Frei_Montalva, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), Chile, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png, 23, 15, Chilean Air Force, https://en.wikipedia.org/wiki/Chilean_Air_Force, 1969, 150, 150,  80, AQ, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −2.3  
Escudero, https://en.wikipedia.org/wiki/Profesor_Julio_Escudero_Base, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), Chile, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png, 23, 15, Instituto Antártico Chileno, https://en.wikipedia.org/wiki/Instituto_Ant%C3%A1rtico_Chileno, 1995, 90, 60,  2, AQ ESC, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −2.3  
Esperanza, https://en.wikipedia.org/wiki/Esperanza_Base, Hope Bay, https://en.wikipedia.org/wiki/Hope_Bay, Argentina, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, Instituto Antartico Argentino, https://en.wikipedia.org/wiki/Instituto_Antartico_Argentino, 1953, 90, 116,  56, AQ ESP, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −4.6  
GARS, https://en.wikipedia.org/wiki/German_Antarctic_Receiving_Station, Cape Legoupil, https://en.wikipedia.org/wiki/Cape_Legoupil, Germany, https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png, 23, 14, German Aerospace Center, https://en.wikipedia.org/wiki/German_Aerospace_Center, 1991, 10, ,  , AQ, , , −3.9  
General Bernardo O'Higgins, https://en.wikipedia.org/wiki/Base_General_Bernardo_O%27Higgins_Riquelme, Cape Legoupil, https://en.wikipedia.org/wiki/Cape_Legoupil, Chile, https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png, 23, 15, Chilean Army, https://en.wikipedia.org/wiki/Chilean_Army, 1948, 60, 52,  24, AQ OHG, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −3.9  
Great Wall, https://en.wikipedia.org/wiki/Antarctic_Great_Wall_Station, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), China, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png, 23, 15, Polar Research Institute of China, https://en.wikipedia.org/wiki/Polar_Research_Institute_of_China, 1985, 60, 60,  13, AQ GWL, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −2.5  
